ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Dosage,Cost per KG,Delivery Status
5815,106-HT-T01,Pre-PQ Process,SCMS-23800,ASN-2257,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/20/2008,2008-08-22,2008-08-22,22-Aug-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,Test kit,100,121,16819.0,139.0,1.39,"Trinity Biotech, Plc",True,100.0,1372.85,26.91,,13.728499999999999,On-Time
6896,117-ET-T01,Pre-PQ Process,SCMS-16220,ASN-1329,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/3/2008,2008-03-04,2008-03-04,4-Mar-08,ARV,Adult,ASPEN PHARMACARE,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,Tablet,30,14820,251940.0,17.0,0.57,"Aspen-OSD, Port Elizabeth, SA",True,1233.0,5137.76,403.1,300mg,4.166877534468775,On-Time
2399,106-HT-T01,Pre-PQ Process,SCMS-39970,ASN-3628,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/6/2009,2009-04-02,2009-04-02,2-Apr-09,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 100mg, capsules, 100 Caps",Zidovudine,Generic,Capsule,100,2100,10500.0,5.0,0.05,"Aurobindo Unit III, India",True,187.0,1903.54,20.58,100mg,10.179358288770054,On-Time
5353,102-GY-T01,Pre-PQ Process,SCMS-767,ASN-620,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/25/2007,2007-08-09,2007-08-21,21-Aug-07,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,300,21597.0,71.99,0.72,Inverness Japan,True,69.0,1398.6,34.56,,20.269565217391303,Late
858,109-TZ-T01,Pre-PQ Process,SCMS-34680,ASN-3332,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/19/2008,2009-04-21,2009-04-21,21-Apr-09,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,Tablet - FDC,30,50000,2520000.0,50.4,1.68,"MSD, Haarlem, NL",True,4093.0,9339.0,4939.2,600/200/300mg,2.281700464207183,On-Time
5793,108-VN-T01,Pre-PQ Process,SCMS-23340,ASN-2277,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/2008,2008-09-19,2008-09-19,19-Sep-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,Tablet - FDC,60,3024,27972.0,9.25,0.15,"Aurobindo Unit III, India",True,703.0,10356.86,44.76,150/300mg,14.732375533428165,On-Time
3378,111-MZ-T01,Pre-PQ Process,SCMS-29460,ASN-3047,Mozambique,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,8/29/2008,2009-02-17,2009-02-17,17-Feb-09,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,1000,80000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,True,337.0,3499.18,156.8,,10.383323442136499,On-Time
4,100-CI-T01,Pre-PQ Process,SCMS-20,ASN-14,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,Date Not Captured,2006-08-27,2006-08-27,27-Aug-06,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,500,40000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,True,171.0,1653.78,,,9.671228070175438,On-Time
4302,104-CI-T01,Pre-PQ Process,SCMS-18280,ASN-1550,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/2008,2008-04-14,2008-04-17,17-Apr-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,Test kit,40,476,36176.0,76.0,1.9,Bio-Rad Laboratories,True,522.0,6924.83,57.88,,13.26595785440613,Late
5366,100-HT-T01,Pre-PQ Process,SCMS-10080,ASN-606,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/26/2007,2007-08-13,2007-08-07,7-Aug-07,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,Test kit - Ancillary,100,300,3.0,0.01,0.0,Inverness Japan,True,24.0,240.0,0.0,,10.0,On-Time
3040,110-ZM-T01,Pre-PQ Process,SCMS-18070,ASN-1576,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/25/2008,2008-04-22,2008-05-05,5-May-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,2000,143980.0,71.99,0.72,Inverness Japan,True,455.0,4113.16,230.37,,9.039912087912088,Late
5294,102-NG-T01,Pre-PQ Process,SCMS-228,ASN-141,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-01-18,2007-01-18,18-Jan-07,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,40,1600.0,40.0,2.0,"Trinity Biotech, Plc",True,14.0,713.58,,,50.970000000000006,On-Time
4594,102-GY-T01,Pre-PQ Process,SCMS-27040,ASN-2473,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/18/2008,2008-10-01,2008-10-01,1-Oct-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,1062,33984.0,32.0,1.6,"Trinity Biotech, Plc",True,1062.0,3976.33,54.37,,3.7441902071563087,On-Time
1183,108-VN-T01,Pre-PQ Process,SCMS-45080,ASN-4420,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/29/2009,2009-07-10,2009-07-10,10-Jul-09,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,Tablet - FDC,60,3500,39025.0,11.15,0.19,"Aurobindo Unit III, India",True,1804.0,6341.88,76.49,150/300/200mg,3.5154545454545456,On-Time
8951,107-RW-T01,Pre-PQ Process,SCMS-38680,ASN-3697,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/18/2009,2009-04-06,2009-04-06,6-Apr-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,1163,37216.0,32.0,1.6,"Trinity Biotech, Plc",True,385.0,6269.97,72.94,,16.285636363636364,On-Time
1594,102-NG-T01,Pre-PQ Process,SCMS-16890,ASN-2014,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/29/2008,2008-09-19,2008-07-16,16-Jul-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,Test kit,20,10270,277290.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,True,2907.0,18864.37,443.66,,6.489291365669074,On-Time
1644,104-CI-T01,Pre-PQ Process,SCMS-18450,ASN-1934,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/28/2008,2008-07-22,2008-07-22,22-Jul-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,1116,78120.0,70.0,0.7,Inverness Japan,True,255.0,5175.72,124.99,,20.29694117647059,On-Time
3292,133-NG-T01,Pre-PQ Process,SCMS-27050,ASN-2572,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/18/2008,2008-11-07,2008-10-21,21-Oct-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,Test kit,20,12315,332505.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,True,3508.0,29954.15,532.01,,8.538811288483467,On-Time
9351,109-TZ-T01,Pre-PQ Process,SCMS-10280,ASN-787,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-11-22,2007-11-22,22-Nov-07,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,Test kit,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",True,3345.0,29470.0,320.0,,8.8101644245142,On-Time
717,104-CI-T01,Pre-PQ Process,SCMS-29140,ASN-2472,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/27/2008,2008-10-02,2008-10-02,2-Oct-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,Test kit,40,500,38000.0,76.0,1.9,Bio-Rad Laboratories,True,562.0,11298.13,60.8,,20.103434163701067,On-Time
9100,133-NG-T01,Pre-PQ Process,SCMS-43320,ASN-4100,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/9/2009,2009-06-24,2009-06-08,8-Jun-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,1500,120000.0,80.0,0.8,Inverness Japan,True,445.0,7120.0,235.2,,16.0,On-Time
7953,104-CI-T01,Pre-PQ Process,SCMS-107,ASN-69,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,Date Not Captured,2006-11-14,2006-11-14,14-Nov-06,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,850,68000.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,True,291096.0,156.97,,,0.0005392379146398439,On-Time
9487,107-RW-T01,Pre-PQ Process,SCMS-14150,ASN-1085,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/19/2007,2008-01-18,2008-01-18,18-Jan-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,Test kit,100,463,64357.0,139.0,1.39,"Trinity Biotech, Plc",True,450.0,4360.83,102.97,,9.690733333333332,On-Time
960,108-VN-T01,Pre-PQ Process,SCMS-37170,ASN-3562,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/16/2009,2009-04-10,2009-04-10,10-Apr-09,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,Tablet - FDC,60,5964,51350.04,8.61,0.14,"Aurobindo Unit III, India",True,3509.0,12835.2,100.65,150/300mg,3.657794243374181,On-Time
3956,108-VN-T01,Pre-PQ Process,SCMS-171,ASN-294,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,11/13/2006,2007-03-27,2007-03-27,27-Mar-07,ARV,Adult,Hoffmann-La Roche ltd Basel,"Nelfinavir (as mesilate) 250mg [Viracept], tablets, 270 Tabs",Nelfinavir (as mesilate),Viracept,Tablet,270,200,32688.0,163.44,0.61,Roche Madrid,True,54.0,13981.96,,250mg,258.92518518518517,On-Time
2680,110-ZM-T01,Pre-PQ Process,SCMS-137,ASN-95,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2007-01-29,2007-01-29,29-Jan-07,ARV,Pediatric,Aurobindo Pharma Limited,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,Oral solution,240,906,19071.3,21.05,0.09,"Aurobindo Unit III, India",True,316.0,3850.8,,20mg/ml,12.186075949367089,On-Time
1048,106-HT-T01,Pre-PQ Process,SCMS-40030,ASN-3750,Haiti,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,3/6/2009,2009-04-15,2009-04-15,15-Apr-09,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,Tablet,60,46,472.88,10.28,0.17,ABBVIE Ludwigshafen Germany,True,10.0,893.22,0.93,100/25mg,89.322,On-Time
7172,130-NG-T01,Pre-PQ Process,SCMS-24590,ASN-2024,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/2/2008,2008-07-31,2008-07-31,31-Jul-08,ANTM,Malaria,IDA FOUNDATION,"Sulfadoxine/Pyrimethamine 500/25mg, tablets, 1000 Tabs",Sulfadoxine/Pyrimethamine,Generic,Tablet - FDC,1000,20,527.0,26.35,0.03,"Micro Labs Ltd. (Brown & Burk), India",True,1920.0,20134.43,0.84,500/25mg,10.486682291666666,On-Time
5917,130-NG-T01,Pre-PQ Process,SCMS-26840,ASN-2554,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/15/2008,2008-10-09,2008-10-09,9-Oct-08,ANTM,Malaria,IDA FOUNDATION,"Sulfadoxine/Pyrimethamine 500/25mg, tablets, 1000 Tabs",Sulfadoxine/Pyrimethamine,Generic,Tablet - FDC,1000,7,184.45,26.35,0.03,"Micro Labs Ltd. (Brown & Burk), India",True,488.0,4404.9,0.3,500/25mg,9.026434426229507,On-Time
1285,102-GY-T01,Pre-PQ Process,SCMS-177,ASN-136,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2006-12-29,2006-12-29,29-Dec-06,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,900,36000.0,40.0,2.0,"Trinity Biotech, Plc",True,316.0,4989.87,,,15.790727848101266,On-Time
7398,104-CI-T01,Pre-PQ Process,SCMS-30410,ASN-2712,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,9/18/2008,2008-11-24,2008-11-24,24-Nov-08,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,Test kit,40,603,45828.0,76.0,1.9,Bio-Rad Laboratories,True,679.0,9698.22,89.82,,14.283092783505154,On-Time
914,104-CI-T01,Pre-PQ Process,SCMS-35790,ASN-3242,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/19/2008,2009-03-02,2009-03-02,2-Mar-09,ANTM,Malaria,IDA FOUNDATION,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",Quinine (as dihydrochloride),Generic,Injection,100,140,2731.4,19.51,0.2,Gland Pharma Ltd Pally Factory,True,5209.0,25405.22,5.35,600mg/2ml,4.877177961220964,On-Time
7421,119-NA-T01,Pre-PQ Process,SCMS-31190,ASN-2718,Namibia,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,9/24/2008,2008-10-28,2008-10-28,28-Oct-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Clearview Complete Kit, 25 Tests","HIV 1/2, Clearview Complete Kit",Clearview,Test kit,25,7,525.0,75.0,3.0,Inverness USA,True,3.0,85.27,1.03,,28.423333333333332,On-Time
6881,106-HT-T01,Pre-PQ Process,SCMS-15500,ASN-1153,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2008-01-22,2008-01-22,22-Jan-08,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,Test kit,100,25,8750.0,350.0,3.5,"Pacific Biotech, Thailand",True,60.0,1521.11,14.0,,25.35183333333333,On-Time
3261,108-VN-T01,Pre-PQ Process,SCMS-26380,ASN-2338,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/1/2008,2008-09-20,2008-09-20,20-Sep-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,Tablet,30,2016,24917.76,12.36,0.41,Mylan (formerly Matrix) Nashik,True,120.0,5921.97,39.87,300mg,49.34975,On-Time
4949,109-TZ-T01,Pre-PQ Process,SCMS-38410,ASN-4381,Tanzania,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,2/5/2009,2009-08-11,2009-08-11,11-Aug-09,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,10680,438948.0,41.1,0.34,ABBVIE Ludwigshafen Germany,True,2724.0,12620.12,860.34,200/50mg,4.632936857562409,On-Time
161,117-ET-T01,Pre-PQ Process,SCMS-11070,ASN-916,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/3/2007,2007-11-20,2007-11-20,20-Nov-07,ARV,Adult,Aurobindo Pharma Limited,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,Capsule,60,64000,99200.0,1.55,0.03,"Aurobindo Unit III, India",True,4228.0,12237.61,158.72,30mg,2.894420529801325,On-Time
3870,102-BW-T01,Pre-PQ Process,SCMS-46070,ASN-4144,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/27/2009,2009-06-12,2009-06-12,12-Jun-09,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,Test kit,100,1,350.0,350.0,3.5,"Pacific Biotech, Thailand",True,3.0,597.43,0.69,,199.14333333333332,On-Time
8760,141-NA-T01,Pre-PQ Process,SCMS-32420,ASN-3079,Namibia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,10/24/2008,2009-01-14,2009-01-14,14-Jan-09,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,35,1120.0,32.0,1.6,"Trinity Biotech, Plc",True,12.0,585.12,2.2,,48.76,On-Time
3674,107-RW-T01,Pre-PQ Process,SCMS-38690,ASN-3633,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/18/2009,2009-04-01,2009-04-01,1-Apr-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,386,27020.0,70.0,0.7,Inverness Japan,True,88.0,3936.25,52.96,,44.73011363636363,On-Time
668,102-GY-T01,Pre-PQ Process,SCMS-27670,ASN-2255,Guyana,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,7/25/2008,2008-08-15,2008-08-15,15-Aug-08,MRDT,Malaria,ZEPHYR BIOMEDICALS,"Malaria Paramax-3 Kit, 25 Tests",Malaria Paramax-3 Kit,Paramax,Test kit,25,98,3675.0,37.5,1.5,Not Applicable,True,34.0,180.0,5.88,,5.294117647058823,On-Time
9090,106-HT-T01,Pre-PQ Process,SCMS-42700,ASN-4005,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/2/2009,2009-06-03,2009-06-03,3-Jun-09,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,Test kit,100,55,19250.0,350.0,3.5,"Pacific Biotech, Thailand",True,132.0,3013.19,37.73,,22.82719696969697,On-Time
2927,107-RW-T01,Pre-PQ Process,SCMS-14140,ASN-1028,Rwanda,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,11/16/2007,2008-01-10,2008-01-10,10-Jan-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,Test kit,20,4500,144000.0,32.0,1.6,"Trinity Biotech, Plc",True,2300.0,38425.29,230.4,,16.706647826086957,On-Time
1361,108-VN-T01,Pre-PQ Process,SCMS-757,ASN-631,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/3/2007,2007-08-27,2007-08-27,27-Aug-07,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,Tablet,120,500,41095.0,82.19,0.68,ABBVIE Ludwigshafen Germany,True,117.0,1767.38,65.75,200/50mg,15.105811965811967,On-Time
2478,102-GY-T01,Pre-PQ Process,SCMS-42320,ASN-4291,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/30/2009,2009-07-01,2009-07-01,1-Jul-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,276,24840.0,90.0,0.9,Inverness Japan,True,87.0,1205.7,48.69,,13.858620689655172,On-Time
9639,106-HT-T01,Pre-PQ Process,SCMS-18720,ASN-1610,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/11/2008,2008-05-09,2008-05-09,9-May-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,Test kit,100,955,63985.0,67.0,0.67,Inverness Japan,True,164.0,1802.14,102.38,,10.988658536585367,On-Time
6625,108-VN-T01,Pre-PQ Process,SCMS-166,ASN-261,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,12/2/2006,2007-03-16,2007-03-16,16-Mar-07,ARV,Adult,"GILEAD SCIENCES IRELAND, INC.","Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,Tablet,30,1900,32300.0,17.0,0.57,Gilead(Nycomed) Oranienburg DE,True,116.0,14571.5,,300mg,125.61637931034483,On-Time
1955,108-VN-T01,Pre-PQ Process,SCMS-27310,ASN-2809,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/2008,2008-11-24,2008-11-24,24-Nov-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,Tablet - FDC,60,1100,12540.0,11.4,0.19,"Aurobindo Unit III, India",True,159.0,2568.6,24.58,150/300/200mg,16.154716981132076,On-Time
9000,106-HT-T01,Pre-PQ Process,SCMS-40050,ASN-3743,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/6/2009,2009-04-21,2009-04-21,21-Apr-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,Tablet,30,560,5040.0,9.0,0.3,Mylan (formerly Matrix) Nashik,True,32050.0,806.55,9.88,300mg,0.025165366614664585,On-Time
2603,110-ZM-T01,Pre-PQ Process,SCMS-42641,ASN-5221,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/6/2009,2009-11-11,2009-10-29,29-Oct-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,2000,144000.0,72.0,0.72,Inverness Japan,True,590.0,5962.58,310.46,,10.10606779661017,On-Time
6600,108-VN-T01,Pre-PQ Process,SCMS-78,ASN-51,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2006-09-01,2006-09-01,1-Sep-06,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,Tablet,60,2080,8299.2,3.99,0.07,"Ranbaxy, Paonta Shahib, India",True,87.0,10657.19,,150mg,122.4964367816092,On-Time
9390,113-ZW-T01,Pre-PQ Process,SCMS-11680,ASN-746,Zimbabwe,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/28/2007,2007-10-09,2007-10-09,9-Oct-07,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,Test kit,100,10,3500.0,350.0,3.5,"Pacific Biotech, Thailand",True,24.0,536.08,5.6,,22.33666666666667,On-Time
5293,102-GY-T01,Pre-PQ Process,SCMS-225,ASN-113,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,2006-11-15,2006-11-15,15-Nov-06,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,Test kit,100,230,18400.0,80.0,0.8,ABBVIE GmbH & Co.KG Wiesbaden,True,38681.0,801.54,,,0.020721801401204724,On-Time
